key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,27,27,68,1,25000,0,125000,9,0.815
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,28,28,31,1,5000,0,35000,6,0.654
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,29,29,6,1,10000,0,40000,10,0.687
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,30,30,15,1,10000,0,20000,59,0.329
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,31,31,7,1,10000,0,59000,9,0.43
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,32,32,44,1,5000,0,150000,30,0.295
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,33,33,58,1,5000,0,106000,152,1.71
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,34,34,21,1,10000,0,40000,91,1.462
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,35,35,19,1,10000,0,149000,61,0.566
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,36,36,50,1,5000,0,15000,91,0.55
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,37,37,78,1,25000,0,125000,59,0.837
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,38,38,79,1,25000,0,150000,61,0.43
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,39,39,34,1,5000,0,151000,4,0.311
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,40,40,80,1,25000,0,35000,90,1.667
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,41,41,88,1,25000,0,125000,149,0.409
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,42,42,89,1,25000,0,150000,150,0.267
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,43,43,1,1,10000,0,39000,6,0.068
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,44,44,66,1,25000,0,55000,11,0.42
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,45,45,82,1,25000,0,75000,90,0.11
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,46,46,83,1,25000,0,125000,89,4.73
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,47,47,70,1,25000,0,35000,30,1.437
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,48,48,53,1,5000,0,104000,90,2.284
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,49,49,71,1,25000,0,55000,30,1.074
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,50,50,26,1,10000,0,39000,150,0.349
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,51,51,32,1,5000,0,54000,5,0.187
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,52,52,60,1,25000,0,35000,5,0.319
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,53,53,45,1,5000,0,15000,61,0.095
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,54,54,63,1,25000,0,125000,4,0.785
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,55,55,57,1,5000,0,55000,151,0.395
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,56,56,13,1,10000,0,111000,30,0.298
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,57,57,5,1,10000,0,19000,11,1.85
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,58,58,22,1,10000,0,61000,89,1.611
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,59,59,17,1,10000,0,60000,60,1.75
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,60,60,46,1,5000,0,36000,61,1.563
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,61,61,29,1,10000,0,151000,151,0.314
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,62,62,52,1,5000,0,56000,89,0.378
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,63,63,37,1,5000,0,56000,9,0.441
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,64,64,27,1,10000,0,61000,150,0.477
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,65,65,10,1,10000,0,21000,31,0.372
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,66,66,65,1,25000,0,35000,11,0.652
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,67,67,59,1,5000,0,151000,150,0.297
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,right,1,0,68,68,43,1,5000,0,106000,29,0.097
,,,,,,,,,,,,,,,,,,,,,,001,45,2022-03-28_17h34.44.000,tareaTDv3,2020.2.5,MacIntel,60,,,,left,1,0,69,69,74,1,25000,0,150000,29,0.364
