key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,2.0704,space,3.7,space,2.6724,space,4.1999,right,5.5023,space,5.2363,left,1,8.7004,0,0,0,0,1,10000,109000,9,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,6.5381,0,1,1,2,1,10000,19000,89,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,4.8112,0,2,2,1,1,25000,35000,150,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,g,93.8284,left,1,3.158,0,0,0,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.9915,0,1,1,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,3.581,0,2,2,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,3.4091,0,3,3,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.9858,0,4,4,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,4.9927,0,5,5,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,3.5335,0,6,6,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,4.1881,0,7,7,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.3668,0,8,8,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.6717,0,9,9,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,3.0655,0,10,10,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.4118,0,11,11,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.0922,0,12,12,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.1734,0,13,13,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,2.9533,0,14,14,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,5.2109,0,15,15,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,5.7035,0,16,16,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.2383,0,17,17,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.5866,0,18,18,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.3208,0,19,19,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.9407,0,20,20,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.833,0,21,21,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.0525,0,22,22,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.2072,0,23,23,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.0849,0,24,24,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.2181,0,25,25,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,3.8516,0,26,26,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.6525,0,27,27,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,3.6572,0,28,28,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.2424,0,29,29,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,5.9888,0,30,30,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.4166,0,31,31,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.6709,0,32,32,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.8694,0,33,33,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.6692,0,34,34,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.1273,0,35,35,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,7.1759,0,36,36,25,1,10000,0,10000,150
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.2421,0,37,37,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.5703,0,38,38,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.7102,0,39,39,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.5919,0,40,40,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.6383,0,41,41,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.5107,0,42,42,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.4074,0,43,43,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.2691,0,44,44,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,7.4355,0,45,45,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.5008,0,46,46,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.208,0,47,47,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.324,0,48,48,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.9914,0,49,49,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,001,577,2022-03-28_17h35.28.824,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.8912,0,50,50,84,1,25000,0,150000,89
