key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate
space,0.486,space,0.254,space,0.386,space,0.034,left,2.923,space,0.811,right,0,4.356,0,0,0,0,1,10000,109000,9,002,21,2022-03-28_17h40.39.382,tareaTDv3,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,0,7.024,0,1,1,2,1,10000,19000,89,002,21,2022-03-28_17h40.39.382,tareaTDv3,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0,13.716,0,2,2,1,1,25000,35000,150,002,21,2022-03-28_17h40.39.382,tareaTDv3,2020.2.5,MacIntel,60
