key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,0.9313,space,103.616,space,61.0337,space,11.2844,right,4.2833,space,12.4176,,0,0,0,0,2,1,10000,19000,89,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0,1,1,0,1,10000,109000,9,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,2.0502,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0,2,2,1,1,25000,35000,150,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,1.7205,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,g,13.6698,right,0,2.4849,0,0,0,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.2911,0,1,1,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.3373,0,2,2,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9377,0,3,3,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.5682,0,4,4,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.5037,0,5,5,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.7353,0,6,6,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.7337,0,7,7,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.4515,0,8,8,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.9672,0,9,9,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.1223,0,10,10,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.8014,0,11,11,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.7513,0,12,12,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.5173,0,13,13,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.1787,0,14,14,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,0,0.9173,0,15,15,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.5377,0,16,16,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.2892,0,17,17,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.8342,0,18,18,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.7507,0,19,19,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.1181,0,20,20,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,0,0.9841,0,21,21,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.4514,0,22,22,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.4008,0,23,23,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.4174,0,24,24,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.5503,0,25,25,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.1222,0,26,26,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.3201,0,27,27,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,001,299,2022-03-28_17h34.33.529,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.4236,0,28,28,3,1,10000,0,109000,5
