key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,2.6347,space,10.2603,space,0.4457,space,1.6994,right,7.2122,space,2.0817,right,0,4.0984,0,0,0,1,1,25000,35000,150,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,10.6038,0,1,1,2,1,10000,19000,89,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,5.2495,0,2,2,0,1,10000,109000,9,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,g,176.5204,right,0,4.3488,0,0,0,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.484,0,1,1,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.4489,0,2,2,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.4322,0,3,3,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.5306,0,4,4,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.1224,0,5,5,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.1989,0,6,6,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.5137,0,7,7,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.0616,0,8,8,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.8952,0,9,9,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.6283,0,10,10,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.098,0,11,11,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.9201,0,12,12,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.219,0,13,13,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.0662,0,14,14,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.1587,0,15,15,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.9171,0,16,16,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.8841,0,17,17,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,002,693,2022-03-28_17h34.05.108,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.6501,0,18,18,74,1,25000,0,150000,29
