key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,11.0465,space,6.2236,space,5.018,space,5.6132,right,5.7594,space,2.032,right,1,5.5541,0,0,0,0,1,10000,109000,9,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,12.0115,0,1,1,2,1,10000,19000,89,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,5.8808,0,2,2,1,1,25000,35000,150,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,g,401.5775,left,1,12.1322,0,0,0,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.4321,0,1,1,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.2659,0,2,2,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.6976,0,3,3,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.7618,0,4,4,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,6.0107,0,5,5,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.8616,0,6,6,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,9.1142,0,7,7,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.1343,0,8,8,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.1247,0,9,9,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.0539,0,10,10,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.8021,0,11,11,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,5.7541,0,12,12,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.0334,0,13,13,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.4676,0,14,14,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,5.7979,0,15,15,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.0218,0,16,16,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.1353,0,17,17,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,1,6.1494,0,18,18,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.7176,0,19,19,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.0494,0,20,20,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.9657,0,21,21,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.7777,0,22,22,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.1192,0,23,23,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.8959,0,24,24,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.2313,0,25,25,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.4115,0,26,26,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.5456,0,27,27,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.3645,0,28,28,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,7.0834,0,29,29,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.7831,0,30,30,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.1436,0,31,31,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.9493,0,32,32,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.585,0,33,33,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.3289,0,34,34,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.7056,0,35,35,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,002,330,2022-03-28_17h37.17.730,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.0891,0,36,36,53,1,5000,0,104000,90
