key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,1.7369,space,0.6339,space,0.1008,space,0.4854,left,4.1463,space,1.9176,right,0,0.986,0,0,0,0,1,10000,109000,9,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,1.1988,0,1,1,2,1,10000,19000,89,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,1.266,0,2,2,1,1,25000,35000,150,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,g,52.8552,left,1,2.9553,0,0,0,20,1,10000,0,20000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.4833,0,1,1,61,1,25000,0,55000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.7566,0,2,2,5,1,10000,0,19000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.2405,0,3,3,71,1,25000,0,55000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.2376,0,4,4,35,1,5000,0,15000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.1879,0,5,5,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.939,0,6,6,77,1,25000,0,75000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.8337,0,7,7,48,1,5000,0,105000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.3187,0,8,8,33,1,5000,0,104000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.9411,0,9,9,4,1,10000,0,150000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.9317,0,10,10,46,1,5000,0,36000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.1033,0,11,11,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.61,0,12,12,72,1,25000,0,75000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.3561,0,13,13,70,1,25000,0,35000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.764,0,14,14,9,1,10000,0,151000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.3505,0,15,15,78,1,25000,0,125000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.0066,0,16,16,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.6853,0,17,17,40,1,5000,0,14000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.4257,0,18,18,11,1,10000,0,39000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.1281,0,19,19,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4043,0,20,20,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.2031,0,21,21,10,1,10000,0,21000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.8386,0,22,22,28,1,10000,0,109000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.2737,0,23,23,8,1,10000,0,111000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4833,0,24,24,60,1,25000,0,35000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.3684,0,25,25,80,1,25000,0,35000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.7072,0,26,26,82,1,25000,0,75000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,1000612466,2022-06-09_14h35.17.518,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.9658,0,27,27,76,1,25000,0,55000,60,,
