key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate
space,3.3237,space,10.6758,space,14.8218,space,5.3105,right,5.3069,space,1.7572,left,0,6.843,0,0,0,2,1,10000,19000,89,001,335,2022-03-28_17h36.57.259,tareaTDv3,2020.2.5,Win32,60
,,,,,,,,,,,,right,1,3.8772,0,1,1,0,1,10000,109000,9,001,335,2022-03-28_17h36.57.259,tareaTDv3,2020.2.5,Win32,60
,,,,,,,,,,,,right,0,3.1374,0,2,2,1,1,25000,35000,150,001,335,2022-03-28_17h36.57.259,tareaTDv3,2020.2.5,Win32,60
