key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,3.1137,space,0.2522,space,0.9482,space,0.0429,left,6.5933,space,2.5281,left,0,12.1692,0,0,0,2,1,10000,19000,89,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,2.5734,0,1,1,1,1,25000,35000,150,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,4.4475,0,2,2,0,1,10000,109000,9,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,g,3.1551,left,1,3.7348,0,0,0,67,1,25000,0,75000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,3.1059,0,1,1,59,1,5000,0,151000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,5.6832,0,2,2,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.2296,0,3,3,35,1,5000,0,15000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.0705,0,4,4,30,1,5000,0,16000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.5594,0,5,5,0,1,10000,0,20000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.4538,0,6,6,34,1,5000,0,151000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.2195,0,7,7,18,1,10000,0,110000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.1681,0,8,8,15,1,10000,0,20000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.2691,0,9,9,38,1,5000,0,104000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,3.1211,0,10,10,42,1,5000,0,56000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.5955,0,11,11,22,1,10000,0,61000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.6178,0,12,12,66,1,25000,0,55000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.8875,0,13,13,37,1,5000,0,56000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.2202,0,14,14,48,1,5000,0,105000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.5443,0,15,15,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.5659,0,16,16,49,1,5000,0,149000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.0899,0,17,17,13,1,10000,0,111000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.4613,0,18,18,16,1,10000,0,39000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,3.5702,0,19,19,56,1,5000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.5607,0,20,20,83,1,25000,0,125000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,3.1492,0,21,21,84,1,25000,0,150000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,9.6689,0,22,22,7,1,10000,0,59000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,6.6891,0,23,23,25,1,10000,0,10000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,3.9407,0,24,24,65,1,25000,0,35000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,2.5403,0,25,25,74,1,25000,0,150000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.6729,0,26,26,57,1,5000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.4394,0,27,27,43,1,5000,0,106000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.5042,0,28,28,21,1,10000,0,40000,91,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.1396,0,29,29,3,1,10000,0,109000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.0256,0,30,30,1,1,10000,0,39000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,10.7894,0,31,31,62,1,25000,0,75000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.7188,0,32,32,10,1,10000,0,21000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.2741,0,33,33,80,1,25000,0,35000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,0.2232,0,34,34,64,1,25000,0,150000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.799,0,35,35,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.1064,0,36,36,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.2555,0,37,37,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.2591,0,38,38,36,1,5000,0,36000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.1933,0,39,39,81,1,25000,0,55000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.7438,0,40,40,12,1,10000,0,60000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.377,0,41,41,31,1,5000,0,35000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.502,0,42,42,44,1,5000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.0701,0,43,43,17,1,10000,0,60000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,0.0363,0,44,44,76,1,25000,0,55000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,8.1938,0,45,45,14,1,10000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.2691,0,46,46,28,1,10000,0,109000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.5079,0,47,47,39,1,5000,0,149000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.3783,0,48,48,33,1,5000,0,104000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,0.4617,0,49,49,40,1,5000,0,14000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.4517,0,50,50,19,1,10000,0,149000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,5.6858,0,51,51,51,1,5000,0,35000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.752,0,52,52,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.2374,0,53,53,20,1,10000,0,20000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.494,0,54,54,6,1,10000,0,40000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.2574,0,55,55,78,1,25000,0,125000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.0608,0,56,56,61,1,25000,0,55000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,3.2037,0,57,57,70,1,25000,0,35000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.173,0,58,58,60,1,25000,0,35000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.1547,0,59,59,79,1,25000,0,150000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.3401,0,60,60,9,1,10000,0,151000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.1005,0,61,61,87,1,25000,0,75000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.6016,0,62,62,5,1,10000,0,19000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.8041,0,63,63,4,1,10000,0,150000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.7662,0,64,64,46,1,5000,0,36000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.3861,0,65,65,29,1,10000,0,151000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.1833,0,66,66,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.3169,0,67,67,68,1,25000,0,125000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.472,0,68,68,11,1,10000,0,39000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.2578,0,69,69,86,1,25000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.1932,0,70,70,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.335,0,71,71,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,0.2413,0,72,72,23,1,10000,0,110000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.6017,0,73,73,50,1,5000,0,15000,91,,
,,,,,,,,,,,,,,,,,,,,,,,002,426,2022-03-28_17h45.04.962,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.0357,0,74,74,41,1,5000,0,35000,31,,
