key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,4.918,space,68.4627,space,2.2145,space,1.8864,left,3.3399,space,9.6135,right,0,12.316,0,0,0,2,1,10000,19000,89,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,7.9497,0,1,1,0,1,10000,109000,9,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,5.216,0,2,2,1,1,25000,35000,150,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,g,129.0706,left,1,3.0531,0,0,0,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.9271,0,1,1,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.5956,0,2,2,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.9968,0,3,3,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.1851,0,4,4,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,left,0,15.0183,0,5,5,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,002,200,2022-03-28_17h33.53.880,tareaTDv3,2020.2.5,Win32,60,,,left,0,6.2729,0,6,6,53,1,5000,0,104000,90
