key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,3.0337,space,0.8113,space,0.8555,space,4.4769,right,1.0984,space,0.8171,,0,0,0,0,1,1,25000,35000,150,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0,1,1,0,1,10000,109000,9,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,4.5508,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,0,2,2,2,1,10000,19000,89,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,5.0362,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,g,181.7614,left,1,11.4595,0,0,0,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,right,1,7.1042,0,1,1,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.793,0,2,2,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,left,1,6.3703,0,3,3,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.8988,0,4,4,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.1885,0,5,5,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,left,0,5.9899,0,6,6,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.6926,0,7,7,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.8716,0,8,8,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.6043,0,9,9,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.857,0,10,10,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.0183,0,11,11,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.0356,0,12,12,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,001,572,2022-03-28_17h39.36.793,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.5231,0,13,13,2,1,10000,0,61000,4
