key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,4.342,space,16.433,space,12.685,space,0.883,right,2.675,space,1.242,left,0,2.399,0,0,0,1,1,25000,35000,150,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,5.679,0,1,1,0,1,10000,109000,9,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,3.416,0,2,2,2,1,10000,19000,89,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,g,185.096,right,0,6.052,0,0,0,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,5.461,0,1,1,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.434,0,2,2,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,6.662,0,3,3,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,3.042,0,4,4,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,4.634,0,5,5,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,001,538,2022-03-28_17h33.51.997,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.183,0,6,6,2,1,10000,0,61000,4
