key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate
space,2.937,space,2.159,space,0.631,space,0.425,right,7.493,space,1.199,left,0,3.157,0,0,0,2,1,10000,19000,89,002,59,2022-03-28_23h30.02.573,tareaTDv3,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,1,4.767,0,1,1,0,1,10000,109000,9,002,59,2022-03-28_23h30.02.573,tareaTDv3,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0,4.066,0,2,2,1,1,25000,35000,150,002,59,2022-03-28_23h30.02.573,tareaTDv3,2020.2.5,MacIntel,60
