key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,1.5281,space,1.7331,space,0.4355,space,0.418,left,1.2064,space,5.4892,right,0,1.5671,0,0,0,1,1,25000,35000,150,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0.4852,0,1,1,0,1,10000,109000,9,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0.6252,0,2,2,2,1,10000,19000,89,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,g,2.4194,left,0,4.7769,0,0,0,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.3359,0,1,1,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.7352,0,2,2,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.6881,0,3,3,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,6.2228,0,4,4,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.0868,0,5,5,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.0045,0,6,6,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.3231,0,7,7,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.0292,0,8,8,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.2752,0,9,9,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.1537,0,10,10,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.6432,0,11,11,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.3598,0,12,12,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.4738,0,13,13,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.9528,0,14,14,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4352,0,15,15,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.2409,0,16,16,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.4811,0,17,17,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.8701,0,18,18,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2362,0,19,19,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.359,0,20,20,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.5224,0,21,21,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.4593,0,22,22,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.02,0,23,23,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.1376,0,24,24,42,1,5000,0,56000,29
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.2249,0,25,25,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.1596,0,26,26,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.522,0,27,27,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.5787,0,28,28,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.0543,0,29,29,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.4371,0,30,30,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.6764,0,31,31,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.6416,0,32,32,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.3196,0,33,33,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.1038,0,34,34,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.4201,0,35,35,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.0554,0,36,36,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.6876,0,37,37,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,15.9942,0,38,38,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.0102,0,39,39,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.4375,0,40,40,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.2371,0,41,41,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,7.2738,0,42,42,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.1259,0,43,43,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.8909,0,44,44,25,1,10000,0,10000,150
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.1497,0,45,45,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.0214,0,46,46,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.4278,0,47,47,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.9352,0,48,48,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.5025,0,49,49,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.4241,0,50,50,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.7391,0,51,51,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.5018,0,52,52,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,8.2622,0,53,53,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,6.0802,0,54,54,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.5702,0,55,55,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.6296,0,56,56,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.5377,0,57,57,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,1,13.5135,0,58,58,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,002,1001779236,2022-06-02_18h51.15.166,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.1678,0,59,59,21,1,10000,0,40000,91
