key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.495,0,26,26,39,1,5000,0,149000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.4512,0,27,27,40,1,5000,0,14000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,3.1471,0,28,28,51,1,5000,0,35000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.7017,0,29,29,67,1,25000,0,75000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.7184,0,30,30,43,1,5000,0,106000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.6029,0,31,31,16,1,10000,0,39000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.4619,0,32,32,35,1,5000,0,15000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,4.2592,0,33,33,68,1,25000,0,125000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.1394,0,34,34,72,1,25000,0,75000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,16,2022-03-28_17h48.38.557,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,3.1034,0,35,35,86,1,25000,0,55000,151,,
