key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,1.5863,space,0.3674,space,0.2277,space,0.3639,right,0.1803,space,0.1513,right,0,0.0518,0,0,0,0,1,10000,109000,9,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0.0844,0,1,1,2,1,10000,19000,89,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,2.5166,0,2,2,1,1,25000,35000,150,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,g,1.3013,right,1,0.7358,0,0,0,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.551,0,1,1,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.0733,0,2,2,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.9839,0,3,3,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,left,1,12.8664,0,4,4,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,right,1,7.0488,0,5,5,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,002,175,2022-03-28_22h30.26.428,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.1012,0,6,6,27,1,10000,0,61000,150
