"","V1","V2"
"1",65,44
"2",83,44
"3",46,65
"4",46,70
"5",47,57
"6",47,67
"7",47,77
"8",52,61
"9",53,61
"10",53,70
"11",55,70
"12",64,58
"13",59,81
"14",60,62
"15",63,66
"16",63,82
"17",68,65
"18",66,67
"19",69,71
"20",69,80
"21",77,70
"22",72,81
"23",75,81
"24",79,80
"25",25,17
"26",18,59
"27",19,38
"28",28,54
"29",28,78
"30",49,54
