key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_address,L_reward_1,L_prob_1,L_reward_2,L_prob_2,R_reward_1,R_prob_1,R_reward_2,R_prob_2,participant,session,date,expName,psychopyVersion,OS,frameRate,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,block_loop.ran,block_address,cond_spanish
,,,,left,36.0374,0,6,6,16,1,img/GP_76.png,-22,0.38,-15,0.62,-4,0.38,-36,0.62,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,39.4386,0,7,7,7,1,img/GP_67.png,-94,0.25,-37,0.75,-49,0.83,-11,0.17,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,27.2894,0,8,8,12,1,img/GP_72.png,-46,0.6,-21,0.4,-99,0.42,-37,0.58,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,9.1217,0,9,9,1,1,img/GP_61.png,-3,0.76,-92,0.24,-14,0.62,-83,0.38,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,9.7302,0,10,10,6,1,img/GP_66.png,-59,0.44,0,0.56,-80,0.43,-24,0.57,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,6.7443,0,11,11,4,1,img/GP_64.png,-51,0.13,-56,0.87,-47,0.93,-70,0.07,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,42.848,0,12,12,9,1,img/GP_69.png,-26,0.51,-76,0.49,-48,0.77,-34,0.23,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,53.6989,0,13,13,13,1,img/GP_73.png,-67,0.29,-28,0.71,-46,0.05,-44,0.95,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,7.8383,0,14,14,3,1,img/GP_63.png,-89,0.3,-72,0.7,-96,0.96,-37,0.04,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,10.1436,0,15,15,18,1,img/GP_78.png,-91,0.37,-33,0.63,-41,0.49,-61,0.51,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,4.5746,0,16,16,10,1,img/GP_70.png,-1,0.49,-54,0.51,-33,0.77,-30,0.23,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,10.4073,0,17,17,2,1,img/GP_62.png,-40,0.82,-90,0.18,-46,0.17,-64,0.83,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,9.318,0,18,18,5,1,img/GP_65.png,-61,0.96,-56,0.04,-7,0.34,-63,0.66,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,right,5.3567,0,19,19,8,1,img/GP_68.png,-15,0.16,-67,0.84,-56,0.72,-83,0.28,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,,,,,,,,,,,,,,,,,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,0,1,1,0,1,img_links_loose.csv,Va a empezar turnos con opciones de perdida. Oprima barra espaceadora para continuar.
,,space,2.2003,left,21.9261,0,0,0,8,1,img/GP_8.png,26,0.37,64,0.63,19,0.89,81,0.11,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,21.9223,0,1,1,1,1,img/GP_1.png,26,0.82,34,0.18,18,0.49,31,0.51,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,7.6228,0,2,2,12,1,img/GP_12.png,24,0.99,53,0.01,17,0.71,77,0.29,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
,,,,left,4.2389,0,3,3,7,1,img/GP_7.png,76,0.98,37,0.02,49,0.82,50,0.18,la mosca,001,2022-11-11_19h16.20.962,CPT,2021.1.4,Win32,60.03842459,,,,,,,
