Performance,RT,ProbRatio,NumRatio,DenRatio,AreaCtl,WinSide1,WinSide2,DenSide1,DenSide2,ProbSide1,ProbSide2,sideR,subID
1,0.28922,1,0.33333,0.33333,2,6,18,8,24,0.75,0.75,1,1
1,0.25397,0.8,0.33333,0.26667,2,15,5,30,8,0.5,0.625,2,1
1,0.30034,0.8,0.2,0.25,2,10,2,16,4,0.625,0.5,1,1
1,0.30565,0.5,0.28571,0.57143,1,7,2,14,8,0.5,0.25,1,1
1,0.40526,0.5,0.71429,0.35714,1,5,7,10,28,0.5,0.25,1,1
0,0.33553,0.8,0.5,0.625,1,3,6,15,24,0.2,0.25,1,1
0,0.25796,1,0.45455,0.45455,2,5,11,10,22,0.5,0.5,2,1
0,0.2729,0.5,0.125,0.25,1,3,24,8,32,0.375,0.75,1,1
0,0.26664,1,0.4,0.4,2,4,10,8,20,0.5,0.5,2,1
0,0.3853,0.8,0.71429,0.57143,1,7,5,28,16,0.25,0.3125,1,1
0,0.2774,1,0.75,0.75,1,18,24,24,32,0.75,0.75,2,1
0,0.24092,0.8,0.71429,0.57143,2,21,15,28,16,0.75,0.9375,1,1
0,0.30183,0.5,0.71429,0.35714,2,7,5,28,10,0.25,0.5,1,1
0,0.2099,0.8,0.71429,0.57143,1,5,7,16,28,0.3125,0.25,2,1
1,0.22899,0.5,0.16667,0.33333,1,6,1,24,8,0.25,0.125,1,1
1,0.22799,0.5,0.375,0.75,2,9,24,24,32,0.375,0.75,2,1
0,0.32709,1,0.5,0.5,2,10,5,20,10,0.5,0.5,2,1
0,0.36338,1,0.69231,0.69231,2,9,13,18,26,0.5,0.5,2,1
1,0.39363,0.66667,0.92308,0.61538,1,13,12,26,16,0.5,0.75,2,1
1,0.30195,0.8,0.71429,0.57143,2,21,15,28,16,0.75,0.9375,2,1
0,0.41796,1,0.33333,0.33333,1,2,6,8,24,0.25,0.25,2,1
1,0.40641,0.5,1,0.5,2,5,5,20,10,0.25,0.5,2,1
1,0.40654,0.5,1,0.5,1,2,2,4,8,0.5,0.25,1,1
0,0.25559,0.8,0.6,0.75,2,5,3,16,12,0.3125,0.25,2,1
1,0.32936,1,0.85714,0.85714,2,21,18,28,24,0.75,0.75,1,1
1,0.35618,0.66667,0.54167,0.8125,2,24,13,32,26,0.75,0.5,1,1
