img_address,L_reward_1,L_prob_1,L_reward_2,L_prob_2,R_reward_1,R_prob_1,R_reward_2,R_prob_2
img/GP_120.png,27,0.15,-55,0.85,73,0.02,-88,0.98
img/GP_121.png,73,0.82,-19,0.18,58,0.94,-54,0.06
img/GP_122.png,0,0,-48,1,87,0.1,-71,0.9
