img_address,L_reward_1,L_prob_1,L_reward_2,L_prob_2,R_reward_1,R_prob_1,R_reward_2,R_prob_2
img/GP_0.png,88,0.29,78,0.71,53,0.29,91,0.71
img/GP_1.png,26,0.82,34,0.18,18,0.49,31,0.51
img/GP_2.png,31,0.59,63,0.41,92,0.89,20,0.11
