key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,ssAmount_text,llAmount_text,llDelay_text,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,ss_Amt_text,ss_Delay_text,ll_Amt_text,ll_Delay_text,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.598,0,50,50,33,1,5000,0,104000,5,"$5,000 ",0 días,"$104,000 ",5 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.458,0,51,51,82,1,25000,0,75000,90,"$25,000 ",0 días,"$75,000 ",90 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.091,0,52,52,75,1,25000,0,35000,60,"$25,000 ",0 días,"$35,000 ",60 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.305,0,53,53,60,1,25000,0,35000,5,"$25,000 ",0 días,"$35,000 ",5 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.135,0,54,54,79,1,25000,0,150000,61,"$25,000 ",0 días,"$150,000 ",61 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.132,0,55,55,7,1,10000,0,59000,9,"$10,000 ",0 días,"$59,000 ",9 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.082,0,56,56,0,1,10000,0,20000,5,"$10,000 ",0 días,"$20,000 ",5 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.203,0,57,57,70,1,25000,0,35000,30,"$25,000 ",0 días,"$35,000 ",30 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.305,0,58,58,44,1,5000,0,150000,30,"$5,000 ",0 días,"$150,000 ",30 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.559,0,59,59,28,1,10000,0,109000,149,"$10,000 ",0 días,"$109,000 ",149 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,1.081,0,60,60,36,1,5000,0,36000,9,"$5,000 ",0 días,"$36,000 ",9 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.105,0,61,61,12,1,10000,0,60000,29,"$10,000 ",0 días,"$60,000 ",29 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,1.051,0,62,62,31,1,5000,0,35000,6,"$5,000 ",0 días,"$35,000 ",6 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.026,0,63,63,3,1,10000,0,109000,5,"$10,000 ",0 días,"$109,000 ",5 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,0,0.282,0,64,64,59,1,5000,0,151000,150,"$5,000 ",0 días,"$151,000 ",150 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,left,1,0.275,0,65,65,32,1,5000,0,54000,5,"$5,000 ",0 días,"$54,000 ",5 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,0,0.151,0,66,66,35,1,5000,0,15000,11,"$5,000 ",0 días,"$15,000 ",11 días,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2022-07-09_06h46.43.116,tareaTDv3,2022.1.3,Win32,59.95203837,,,right,1,0.235,0,67,67,19,1,10000,0,149000,61,"$10,000 ",0 días,"$149,000 ",61 días,,
