,study,subject,age,gender,trial,time_elapsed,pump_value,n_pumps,limit,outcome,outcome_ec,outcome_rating,diff_pumps_limit,information_outcome,information_sought,information_received_ec,emotion_change_rating,next_trial_n_pumps,next_trial_bank,next_trial_points
1,E2 money,1,31,male,0,126286,19,7,12,bank,1,107,5,no,0,-1,3,8,0,0
2,E2 money,1,31,male,1,144114,17,8,0,bust,-1,-61,-8,no,0,-1,0,6,1,402
3,E2 money,1,31,male,2,160600,67,6,12,bank,1,56,6,yes,1,1,-52,8,0,0
4,E2 money,1,31,male,3,175952,69,8,6,bust,-1,-94,-2,yes,1,1,-79,5,1,405
5,E2 money,1,31,male,4,188941,81,5,7,bank,1,115,2,no,0,-1,3,10,0,0
6,E2 money,1,31,male,5,207301,38,10,5,bust,-1,-5,-5,no,0,-1,2,8,0,0
7,E2 money,1,31,male,6,222006,58,8,2,bust,-1,-58,-6,no,0,-1,2,10,1,300
8,E2 money,1,31,male,7,237629,30,10,11,bank,1,114,1,no,0,-1,0,6,1,522
9,E2 money,1,31,male,8,250811,87,6,7,bank,1,87,1,no,0,-1,1,10,0,0
10,E2 money,1,31,male,9,268979,37,10,9,bust,-1,-41,-1,no,0,-1,-2,8,1,592
11,E2 money,1,31,male,10,285999,74,8,11,bank,1,112,3,no,0,-1,-1,10,0,0
12,E2 money,1,31,male,11,301179,36,10,1,bust,-1,-27,-9,no,0,-1,-1,9,1,630
13,E2 money,1,31,male,12,319358,70,9,9,bank,1,108,0,no,0,-1,3,8,0,0
14,E2 money,1,31,male,13,333751,61,8,0,bust,-1,-26,-8,yes,1,1,99,8,1,408
15,E2 money,1,31,male,14,353317,51,8,10,bank,1,107,2,no,0,-1,3,9,0,0
16,E2 money,1,31,male,15,371228,65,9,6,bust,-1,-104,-3,yes,1,1,-18,9,1,504
17,E2 money,1,31,male,16,387151,56,9,12,bank,1,96,3,no,0,-1,4,9,0,0
18,E2 money,1,31,male,17,404628,76,9,3,bust,-1,-106,-6,yes,1,1,92,10,1,480
19,E2 money,1,31,male,18,421881,48,10,10,bank,1,122,0,no,0,-1,1,10,1,660
20,E2 money,1,31,male,19,437243,66,10,11,bank,1,153,1,no,0,-1,16,8,1,624
21,E2 money,1,31,male,20,451780,78,8,10,bank,1,122,2,no,0,-1,2,10,0,0
22,E2 money,1,31,male,21,466856,63,10,7,bust,-1,-15,-3,yes,1,1,-55,10,0,0
23,E2 money,1,31,male,22,481648,46,10,9,bust,-1,-10,-1,no,0,-1,3,11,0,0
24,E2 money,1,31,male,23,499432,14,11,3,bust,-1,-1,-8,no,0,-1,-9,12,0,0
25,E2 money,1,31,male,24,515842,5,12,6,bust,-1,-9,-6,no,0,-1,2,9,1,117
26,E2 money,1,31,male,25,529630,13,9,11,bank,1,51,2,no,0,-1,3,8,0,0
27,E2 money,1,31,male,26,543492,85,8,1,bust,-1,-20,-7,yes,1,1,128,9,0,0
28,E2 money,1,31,male,27,558246,89,9,6,bust,-1,-32,-3,yes,1,1,-99,8,1,664
29,E2 money,1,31,male,28,573540,83,8,8,bank,1,118,0,no,0,-1,4,10,0,0
30,E2 money,1,31,male,29,587865,92,10,9,bust,-1,-48,-1,yes,1,1,-175,7,0,0
31,E2 money,1,31,male,30,602290,96,7,3,bust,-1,-52,-4,no,0,-1,2,9,1,423
32,E2 money,1,31,male,31,615872,47,9,10,bank,1,54,1,no,0,-1,2,10,0,0
33,E2 money,1,31,male,32,630385,74,10,1,bust,-1,-34,-9,no,0,-1,-16,11,0,0
34,E2 money,1,31,male,33,645312,16,11,2,bust,-1,-3,-9,no,0,-1,-8,9,0,0
35,E2 money,1,31,male,34,659305,43,9,8,bust,-1,-29,-1,no,0,-1,-2,9,0,0
36,E2 money,1,31,male,35,672852,26,9,6,bust,-1,-16,-3,no,0,-1,-16,8,0,0
37,E2 money,1,31,male,36,688025,86,8,3,bust,-1,-33,-5,yes,1,1,71,8,0,0
38,E2 money,1,31,male,37,700968,25,8,2,bust,-1,-92,-6,no,0,-1,-26,8,0,0
39,E2 money,1,31,male,38,714514,39,8,1,bust,-1,-132,-7,no,0,-1,-16,1,1,1
40,E2 money,1,31,male,39,725720,1,1,5,bank,1,-8,4,no,0,-1,-11,9,1,306
41,E2 money,1,31,male,40,739926,34,9,11,bank,1,71,2,no,0,-1,19,1,1,4
42,E2 money,1,31,male,41,749581,4,1,4,bank,1,11,3,no,0,-1,1,7,0,0
43,E2 money,1,31,male,42,762901,92,7,0,bust,-1,-49,-7,yes,1,1,161,8,0,0
44,E2 money,1,31,male,43,775587,38,8,0,bust,-1,-26,-8,no,0,-1,1,12,0,0
45,E2 money,1,31,male,44,793841,5,12,9,bust,-1,-8,-3,no,0,-1,-1,8,0,0
46,E2 money,1,31,male,45,806387,22,8,0,bust,-1,-10,-8,no,0,-1,-7,8,1,432
47,E2 money,1,31,male,46,820004,54,8,9,bank,1,82,1,no,0,-1,18,7,0,0
48,E2 money,1,31,male,47,836284,100,7,1,bust,-1,-144,-6,yes,1,1,126,9,0,0
49,E2 money,1,31,male,48,849714,34,9,1,bust,-1,-36,-8,no,0,-1,-24,9,1,684
50,E2 money,1,31,male,49,864684,76,9,10,bank,1,142,1,no,0,-1,19,10,1,480
51,E2 money,1,31,male,50,879635,48,10,12,bank,1,108,2,no,0,-1,20,12,0,0
52,E2 money,1,31,male,51,897927,12,12,10,bust,-1,-27,-2,no,0,-1,-22,6,1,264
53,E2 money,1,31,male,52,910684,44,6,11,bank,1,64,5,no,0,-1,17,8,0,0
54,E2 money,1,31,male,53,923791,7,8,3,bust,-1,-9,-5,no,0,-1,-4,6,1,510
55,E2 money,1,31,male,54,937410,85,6,7,bank,1,116,1,yes,1,1,140,8,0,0
56,E2 money,1,31,male,55,951008,26,8,2,bust,-1,-32,-6,no,0,-1,-9,8,0,0
57,E2 money,1,31,male,56,964283,25,8,3,bust,-1,-26,-5,no,0,-1,-4,7,1,532
58,E2 money,1,31,male,57,977492,76,7,9,bank,1,111,2,no,0,-1,32,9,0,0
59,E2 money,1,31,male,58,991778,57,9,7,bust,-1,-72,-2,yes,1,1,-108,9,0,0
60,E2 money,1,31,male,59,1005739,53,9,8,bust,-1,-68,-1,no,0,-1,-5,NA,NA,NA
61,E2 money,2,31,male,0,262989,5,5,6,bank,1,120,1,no,0,-1,6,1,1,40
62,E2 money,2,31,male,1,292624,40,1,1,bank,1,48,0,no,0,-1,6,3,1,57
63,E2 money,2,31,male,2,317419,19,3,8,bank,1,94,5,no,0,-1,8,6,1,78
64,E2 money,2,31,male,3,351158,13,6,6,bank,1,51,0,no,0,-1,10,3,1,78
65,E2 money,2,31,male,4,375354,26,3,9,bank,1,27,6,no,0,-1,21,2,1,184
66,E2 money,2,31,male,5,405942,92,2,11,bank,1,36,9,no,0,-1,14,3,1,219
67,E2 money,2,31,male,6,427946,73,3,10,bank,1,52,7,no,0,-1,11,4,0,0
68,E2 money,2,31,male,7,453413,38,4,0,bust,-1,-98,-4,no,0,-1,-19,2,1,146
69,E2 money,2,31,male,8,478682,73,2,3,bank,1,32,1,no,0,-1,23,3,0,0
70,E2 money,2,31,male,9,502228,28,3,1,bust,-1,-31,-2,no,0,-1,-35,3,1,81
71,E2 money,2,31,male,10,523915,27,3,4,bank,1,25,1,no,0,-1,26,4,1,76
72,E2 money,2,31,male,11,554816,19,4,12,bank,1,61,8,no,0,-1,31,3,1,93
73,E2 money,2,31,male,12,575707,31,3,5,bank,1,35,2,no,0,-1,27,6,1,48
74,E2 money,2,31,male,13,613817,8,6,11,bank,1,36,5,no,0,-1,16,4,1,116
75,E2 money,2,31,male,14,634130,29,4,5,bank,1,28,1,no,0,-1,9,3,1,165
76,E2 money,2,31,male,15,656292,55,3,4,bank,1,14,1,no,0,-1,9,9,0,0
77,E2 money,2,31,male,16,686620,58,9,5,bust,-1,-15,-4,no,0,-1,15,4,1,64
78,E2 money,2,31,male,17,702965,16,4,11,bank,1,20,7,no,0,-1,19,2,1,184
79,E2 money,2,31,male,18,718573,92,2,9,bank,1,17,7,no,0,-1,20,3,1,243
80,E2 money,2,31,male,19,739089,81,3,8,bank,1,14,5,no,0,-1,15,4,1,196
81,E2 money,2,31,male,20,757914,49,4,9,bank,1,15,5,no,0,-1,9,4,1,272
82,E2 money,2,31,male,21,776074,68,4,9,bank,1,20,5,no,0,-1,9,4,1,192
83,E2 money,2,31,male,22,791437,48,4,9,bank,1,13,5,no,0,-1,16,6,0,0
84,E2 money,2,31,male,23,814845,8,6,0,bust,-1,-3,-6,no,0,-1,-6,4,0,0
85,E2 money,2,31,male,24,832202,21,4,1,bust,-1,5,-3,no,0,-1,2,6,0,0
86,E2 money,2,31,male,25,853049,6,6,1,bust,-1,-4,-5,no,0,-1,-4,4,0,0
87,E2 money,2,31,male,26,875520,25,4,2,bust,-1,-47,-2,no,0,-1,-35,4,1,60
88,E2 money,2,31,male,27,892737,15,4,11,bank,1,12,7,no,0,-1,9,4,0,0
89,E2 money,2,31,male,28,910448,29,4,2,bust,-1,-26,-2,no,0,-1,-8,3,0,0
90,E2 money,2,31,male,29,928460,97,3,2,bust,-1,-105,-1,no,0,-1,-7,2,1,54
91,E2 money,2,31,male,30,944901,27,2,2,bank,1,8,0,no,0,-1,8,2,1,146
92,E2 money,2,31,male,31,966288,73,2,11,bank,1,8,9,no,0,-1,4,4,1,216
93,E2 money,2,31,male,32,984970,54,4,7,bank,1,15,3,no,0,-1,11,2,1,198
94,E2 money,2,31,male,33,1003492,99,2,12,bank,1,57,10,no,0,-1,27,3,1,249
95,E2 money,2,31,male,34,1020639,83,3,3,bank,1,37,0,no,0,-1,10,4,1,156
96,E2 money,2,31,male,35,1037988,39,4,6,bank,1,42,2,no,0,-1,9,3,1,291
97,E2 money,2,31,male,36,1054506,97,3,9,bank,1,15,6,no,0,-1,20,5,0,0
98,E2 money,2,31,male,37,1076770,20,5,4,bust,-1,-9,-1,no,0,-1,-6,4,0,0
99,E2 money,2,31,male,38,1096270,38,4,0,bust,-1,-8,-4,no,0,-1,-10,3,1,153
100,E2 money,2,31,male,39,1113236,51,3,9,bank,1,38,6,no,0,-1,9,6,0,0
101,E2 money,2,31,male,40,1136220,12,6,4,bust,-1,-23,-2,no,0,-1,-3,2,1,190
102,E2 money,2,31,male,41,1151925,95,2,9,bank,1,14,7,no,0,-1,9,5,1,75
103,E2 money,2,31,male,42,1169521,15,5,5,bank,1,60,0,no,0,-1,23,3,1,222
104,E2 money,2,31,male,43,1185159,74,3,5,bank,1,17,2,no,0,-1,10,5,1,85
105,E2 money,2,31,male,44,1202332,17,5,10,bank,1,64,5,no,0,-1,17,3,1,231
106,E2 money,2,31,male,45,1218169,77,3,10,bank,1,34,7,no,0,-1,13,3,1,219
107,E2 money,2,31,male,46,1234668,73,3,9,bank,1,15,6,no,0,-1,22,4,1,180
108,E2 money,2,31,male,47,1249662,45,4,12,bank,1,16,8,no,0,-1,20,3,0,0
109,E2 money,2,31,male,48,1266245,95,3,2,bust,-1,-73,-1,no,0,-1,-46,6,0,0
110,E2 money,2,31,male,49,1285145,5,6,1,bust,-1,-5,-5,no,0,-1,-4,4,0,0
111,E2 money,2,31,male,50,1304571,40,4,3,bust,-1,-59,-1,no,0,-1,-22,3,1,153
112,E2 money,2,31,male,51,1321014,51,3,10,bank,1,17,7,no,0,-1,10,3,1,129
113,E2 money,2,31,male,52,1336983,43,3,3,bank,1,27,0,no,0,-1,9,4,1,128
114,E2 money,2,31,male,53,1355372,32,4,10,bank,1,12,6,no,0,-1,8,4,1,128
115,E2 money,2,31,male,54,1371652,32,4,7,bank,1,22,3,no,0,-1,9,5,1,150
116,E2 money,2,31,male,55,1387648,30,5,12,bank,1,69,7,no,0,-1,38,4,1,132
117,E2 money,2,31,male,56,1407588,33,4,6,bank,1,24,2,no,0,-1,6,5,0,0
118,E2 money,2,31,male,57,1423443,8,5,2,bust,-1,-5,-3,no,0,-1,-6,3,1,249
119,E2 money,2,31,male,58,1439509,83,3,12,bank,1,19,9,no,0,-1,23,4,1,236
120,E2 money,2,31,male,59,1455471,59,4,4,bank,1,37,0,no,0,-1,17,NA,NA,NA
121,E2 money,3,45,male,0,222668,3,4,3,bust,-1,-193,-1,yes,1,1,-186,1,1,15
122,E2 money,3,45,male,1,240828,15,1,11,bank,1,158,10,yes,1,1,186,1,1,71
123,E2 money,3,45,male,2,263212,71,1,7,bank,1,135,6,yes,1,1,78,3,0,0
124,E2 money,3,45,male,3,286062,27,3,0,bust,-1,136,-3,yes,1,1,-200,7,0,0
125,E2 money,3,45,male,4,307639,65,7,5,bust,-1,161,-2,no,0,-1,-127,2,1,182
126,E2 money,3,45,male,5,330723,91,2,6,bank,1,138,4,yes,1,1,93,2,1,46
127,E2 money,3,45,male,6,348325,23,2,2,bank,1,66,0,yes,1,1,123,1,1,59
128,E2 money,3,45,male,7,366450,59,1,10,bank,1,43,9,yes,1,1,124,2,0,0
129,E2 money,3,45,male,8,382597,72,2,1,bust,-1,120,-1,yes,1,1,-200,3,1,162
130,E2 money,3,45,male,9,399419,54,3,12,bank,1,122,9,yes,1,1,148,8,0,0
131,E2 money,3,45,male,10,426600,7,8,7,bust,-1,-161,-1,yes,1,1,0,2,1,80
132,E2 money,3,45,male,11,442420,40,2,8,bank,1,104,6,yes,1,1,128,3,1,6
133,E2 money,3,45,male,12,466486,2,3,9,bank,1,-115,6,yes,1,1,58,2,1,58
134,E2 money,3,45,male,13,480852,29,2,5,bank,1,113,3,yes,1,1,200,2,1,50
135,E2 money,3,45,male,14,498876,25,2,10,bank,1,78,8,yes,1,1,63,4,0,0
136,E2 money,3,45,male,15,517411,22,4,0,bust,-1,79,-4,yes,1,1,60,3,1,189
137,E2 money,3,45,male,16,535155,63,3,3,bank,1,117,0,yes,1,1,129,3,1,114
138,E2 money,3,45,male,17,552496,38,3,4,bank,1,138,1,yes,1,1,124,2,1,166
139,E2 money,3,45,male,18,568628,83,2,6,bank,1,195,4,yes,1,1,113,2,1,148
140,E2 money,3,45,male,19,586871,74,2,12,bank,1,65,10,yes,1,1,90,4,1,268
141,E2 money,3,45,male,20,604554,67,4,12,bank,1,178,8,yes,1,1,200,2,1,86
142,E2 money,3,45,male,21,619282,43,2,2,bank,1,72,0,yes,1,1,95,3,1,147
143,E2 money,3,45,male,22,634165,49,3,5,bank,1,94,2,yes,1,1,106,4,1,296
144,E2 money,3,45,male,23,651218,74,4,7,bank,1,89,3,yes,1,1,200,5,1,315
145,E2 money,3,45,male,24,669666,63,5,9,bank,1,134,4,yes,1,1,200,6,1,276
146,E2 money,3,45,male,25,710631,46,6,11,bank,1,148,5,yes,1,1,112,2,1,172
147,E2 money,3,45,male,26,724320,86,2,9,bank,1,121,7,yes,1,1,91,4,1,332
148,E2 money,3,45,male,27,739430,83,4,4,bank,1,155,0,yes,1,1,157,2,0,0
149,E2 money,3,45,male,28,757039,47,2,1,bust,-1,83,-1,yes,1,1,-200,1,1,8
150,E2 money,3,45,male,29,775692,8,1,3,bank,1,95,2,yes,1,1,180,5,1,485
151,E2 money,3,45,male,30,793082,97,5,8,bank,1,199,3,yes,1,1,146,6,0,0
152,E2 money,3,45,male,31,813723,99,6,4,bust,-1,-200,-2,yes,1,1,-140,5,1,405
