,study,subject,age,gender,trial,time_elapsed,pump_value,n_pumps,limit,outcome,outcome_ec,outcome_rating,diff_pumps_limit,information_outcome,information_sought,information_received_ec,emotion_change_rating,next_trial_n_pumps,next_trial_bank,next_trial_points
22,E4 effort with bonus,1,32,female,21,660181,77,1,7,bank,1,200,6,no,0,-1,25,1,1,74
23,E4 effort with bonus,1,32,female,22,674957,74,1,6,bank,1,200,5,no,0,-1,15,1,1,80
24,E4 effort with bonus,1,32,female,23,691933,80,1,8,bank,1,196,7,no,0,-1,36,1,1,88
25,E4 effort with bonus,1,32,female,24,707533,88,1,1,bank,1,200,0,no,0,-1,85,3,1,291
26,E4 effort with bonus,1,32,female,25,724901,97,3,7,bank,1,200,4,no,0,-1,63,1,1,1
27,E4 effort with bonus,1,32,female,26,740815,1,1,12,bank,1,164,11,no,0,-1,17,2,1,96
28,E4 effort with bonus,1,32,female,27,760707,48,2,5,bank,1,200,3,no,0,-1,17,2,1,70
29,E4 effort with bonus,1,32,female,28,781470,35,2,3,bank,1,200,1,no,0,-1,21,1,1,40
30,E4 effort with bonus,1,32,female,29,808597,40,1,9,bank,1,171,8,no,0,-1,39,6,1,174
31,E4 effort with bonus,1,32,female,30,830654,29,6,11,bank,1,200,5,no,0,-1,49,3,1,252
32,E4 effort with bonus,1,32,female,31,851318,84,3,10,bank,1,200,7,no,0,-1,62,2,1,40
33,E4 effort with bonus,1,32,female,32,867733,20,2,9,bank,1,200,7,no,0,-1,51,5,1,335
34,E4 effort with bonus,1,32,female,33,886891,67,5,6,bank,1,200,1,no,0,-1,125,2,1,80
35,E4 effort with bonus,1,32,female,34,902798,40,2,8,bank,1,200,6,no,0,-1,60,6,0,0
36,E4 effort with bonus,1,32,female,35,927253,73,6,0,bust,-1,-200,-6,yes,1,1,120,7,1,112
37,E4 effort with bonus,1,32,female,36,947726,16,7,9,bank,1,197,2,try harder,1,NA,17,12,0,0
38,E4 effort with bonus,1,32,female,37,973695,20,12,10,bust,-1,-200,-2,try harder,1,NA,29,4,0,0
39,E4 effort with bonus,1,32,female,38,991259,18,4,1,bust,-1,-184,-3,yes,1,1,18,1,1,73
40,E4 effort with bonus,1,32,female,39,1007765,73,1,6,bank,1,180,5,try harder,1,NA,31,2,1,86
41,E4 effort with bonus,1,32,female,40,1024757,43,2,12,bank,1,200,10,no,0,-1,28,1,1,34
42,E4 effort with bonus,1,32,female,41,1044101,34,1,1,bank,1,200,0,no,0,-1,42,1,1,16
43,E4 effort with bonus,1,32,female,42,1061277,16,1,6,bank,1,200,5,try harder,1,NA,30,2,1,104
44,E4 effort with bonus,1,32,female,43,1076356,52,2,5,bank,1,200,3,no,0,-1,26,6,0,0
45,E4 effort with bonus,1,32,female,44,1097022,29,6,1,bust,-1,-200,-5,yes,1,1,36,2,1,74
46,E4 effort with bonus,1,32,female,45,1114511,37,2,4,bank,1,200,2,no,0,-1,58,1,1,12
47,E4 effort with bonus,1,32,female,46,1131267,12,1,1,bank,1,198,0,yes,1,1,200,3,1,189
48,E4 effort with bonus,1,32,female,47,1148668,63,3,9,bank,1,200,6,yes,1,1,-87,9,0,0
49,E4 effort with bonus,1,32,female,48,1171135,97,9,1,bust,-1,-187,-8,yes,1,1,53,8,0,0
50,E4 effort with bonus,1,32,female,49,1192536,96,8,0,bust,-1,-200,-8,yes,1,1,195,1,1,91
51,E4 effort with bonus,1,32,female,50,1208671,91,1,11,bank,1,200,10,yes,1,1,-191,5,0,0
52,E4 effort with bonus,1,32,female,51,1226807,60,5,1,bust,-1,-200,-4,yes,1,1,50,3,1,9
53,E4 effort with bonus,1,32,female,52,1244086,3,3,11,bank,1,175,8,try harder,1,NA,32,2,1,116
54,E4 effort with bonus,1,32,female,53,1261960,58,2,12,bank,1,200,10,yes,1,1,-200,3,0,0
55,E4 effort with bonus,1,32,female,54,1278671,44,3,1,bust,-1,-200,-2,try harder,1,NA,-66,2,1,44
56,E4 effort with bonus,1,32,female,55,1294542,22,2,6,bank,1,200,4,try harder,1,NA,35,3,1,63
57,E4 effort with bonus,1,32,female,56,1310350,21,3,3,bank,1,200,0,no,0,-1,7,4,1,60
58,E4 effort with bonus,1,32,female,57,1330020,15,4,5,bank,1,196,1,yes,1,1,108,1,1,70
59,E4 effort with bonus,1,32,female,58,1346167,70,1,7,bank,1,196,6,try harder,1,NA,52,1,1,81
60,E4 effort with bonus,1,32,female,59,1364334,81,1,10,bank,1,200,9,no,0,-1,46,NA,NA,NA
61,E4 effort with bonus,2,27,male,0,284936,96,7,0,bust,-1,-200,-7,yes,1,1,-200,6,0,0
62,E4 effort with bonus,2,27,male,1,313561,21,6,5,bust,-1,-200,-1,try harder,1,NA,-200,5,0,0
63,E4 effort with bonus,2,27,male,2,351721,16,5,0,bust,-1,-6,-5,no,0,-1,27,4,1,80
64,E4 effort with bonus,2,27,male,3,378480,20,4,4,bank,1,200,0,yes,1,1,200,4,1,316
65,E4 effort with bonus,2,27,male,4,407970,79,4,4,bank,1,200,0,yes,1,1,200,3,1,33
66,E4 effort with bonus,2,27,male,5,436595,11,3,6,bank,1,200,3,yes,1,1,51,4,1,188
67,E4 effort with bonus,2,27,male,6,463171,47,4,4,bank,1,200,0,yes,1,1,200,4,1,104
68,E4 effort with bonus,2,27,male,7,495485,26,4,9,bank,1,200,5,yes,1,1,130,2,1,150
69,E4 effort with bonus,2,27,male,8,520917,75,2,7,bank,1,200,5,yes,1,1,129,2,1,180
70,E4 effort with bonus,2,27,male,9,559853,90,2,12,bank,1,148,10,no,0,-1,200,3,1,225
71,E4 effort with bonus,2,27,male,10,584502,75,3,7,bank,1,200,4,no,0,-1,141,3,1,273
72,E4 effort with bonus,2,27,male,11,610332,91,3,10,bank,1,200,7,yes,1,1,147,3,1,249
73,E4 effort with bonus,2,27,male,12,638318,83,3,3,bank,1,176,0,yes,1,1,200,2,1,16
74,E4 effort with bonus,2,27,male,13,669100,8,2,9,bank,1,200,7,yes,1,1,101,3,0,0
75,E4 effort with bonus,2,27,male,14,702985,85,3,1,bust,-1,-200,-2,yes,1,1,-200,2,1,148
76,E4 effort with bonus,2,27,male,15,728843,74,2,7,bank,1,200,5,yes,1,1,200,2,1,124
77,E4 effort with bonus,2,27,male,16,753791,62,2,5,bank,1,172,3,yes,1,1,-87,3,0,0
78,E4 effort with bonus,2,27,male,17,784498,81,3,2,bust,-1,-160,-1,yes,1,1,-164,1,1,50
79,E4 effort with bonus,2,27,male,18,810138,50,1,5,bank,1,200,4,yes,1,1,200,2,1,126
80,E4 effort with bonus,2,27,male,19,834747,63,2,5,bank,1,115,3,yes,1,1,117,1,1,48
81,E4 effort with bonus,2,27,male,20,864266,48,1,6,bank,1,200,5,yes,1,1,-103,2,1,188
82,E4 effort with bonus,2,27,male,21,890116,94,2,5,bank,1,119,3,yes,1,1,-13,2,1,82
83,E4 effort with bonus,2,27,male,22,914180,41,2,8,bank,1,200,6,yes,1,1,180,3,1,198
84,E4 effort with bonus,2,27,male,23,957436,66,3,6,bank,1,200,3,try harder,1,NA,134,4,1,40
85,E4 effort with bonus,2,27,male,24,986341,10,4,11,bank,1,152,7,yes,1,1,162,2,1,40
86,E4 effort with bonus,2,27,male,25,1003887,20,2,9,bank,1,136,7,try harder,1,NA,0,3,1,78
87,E4 effort with bonus,2,27,male,26,1025725,26,3,7,bank,1,166,4,yes,1,1,60,2,1,120
88,E4 effort with bonus,2,27,male,27,1048463,60,2,9,bank,1,53,7,yes,1,1,82,2,1,50
89,E4 effort with bonus,2,27,male,28,1065453,25,2,6,bank,1,-81,4,try harder,1,NA,-60,3,1,78
90,E4 effort with bonus,2,27,male,29,1084166,26,3,9,bank,1,117,6,yes,1,1,200,4,1,72
91,E4 effort with bonus,2,27,male,30,1105687,18,4,11,bank,1,98,7,yes,1,1,200,2,1,136
92,E4 effort with bonus,2,27,male,31,1125296,68,2,9,bank,1,157,7,yes,1,1,148,4,1,96
93,E4 effort with bonus,2,27,male,32,1146151,24,4,12,bank,1,79,8,yes,1,1,99,3,1,180
94,E4 effort with bonus,2,27,male,33,1182073,60,3,5,bank,1,118,2,yes,1,1,187,3,0,0
95,E4 effort with bonus,2,27,male,34,1207888,73,3,1,bust,-1,84,-2,yes,1,1,-200,2,0,0
96,E4 effort with bonus,2,27,male,35,1228378,90,2,1,bust,-1,-200,-1,yes,1,1,-151,1,1,94
97,E4 effort with bonus,2,27,male,36,1245529,94,1,11,bank,1,144,10,try harder,1,NA,-147,5,1,75
98,E4 effort with bonus,2,27,male,37,1267259,15,5,9,bank,1,200,4,yes,1,1,200,5,1,130
99,E4 effort with bonus,2,27,male,38,1289674,26,5,12,bank,1,200,7,yes,1,1,200,2,1,184
100,E4 effort with bonus,2,27,male,39,1310621,92,2,6,bank,1,200,4,yes,1,1,200,2,1,140
101,E4 effort with bonus,2,27,male,40,1328026,70,2,12,bank,1,115,10,yes,1,1,103,2,1,174
102,E4 effort with bonus,2,27,male,41,1346121,87,2,11,bank,1,88,9,try harder,1,NA,97,3,0,0
103,E4 effort with bonus,2,27,male,42,1368127,71,3,2,bust,-1,-165,-1,yes,1,1,-153,2,0,0
104,E4 effort with bonus,2,27,male,43,1386662,65,2,1,bust,-1,75,-1,try harder,1,NA,-98,3,0,0
105,E4 effort with bonus,2,27,male,44,1407165,54,3,1,bust,-1,-175,-2,yes,1,1,-75,2,1,38
106,E4 effort with bonus,2,27,male,45,1424461,19,2,6,bank,1,167,4,yes,1,1,-127,2,1,118
107,E4 effort with bonus,2,27,male,46,1442261,59,2,6,bank,1,200,4,yes,1,1,200,4,1,108
108,E4 effort with bonus,2,27,male,47,1463212,27,4,10,bank,1,200,6,yes,1,1,200,4,0,0
109,E4 effort with bonus,2,27,male,48,1482526,30,4,1,bust,-1,-200,-3,yes,1,1,-200,2,0,0
110,E4 effort with bonus,2,27,male,49,1503795,74,2,0,bust,-1,199,-2,yes,1,1,-99,3,1,75
111,E4 effort with bonus,2,27,male,50,1524817,25,3,4,bank,1,200,1,yes,1,1,200,2,1,180
112,E4 effort with bonus,2,27,male,51,1543342,90,2,12,bank,1,183,10,yes,1,1,200,3,1,225
113,E4 effort with bonus,2,27,male,52,1569584,75,3,4,bank,1,154,1,yes,1,1,200,3,1,126
114,E4 effort with bonus,2,27,male,53,1591392,42,3,9,bank,1,200,6,yes,1,1,200,3,1,75
115,E4 effort with bonus,2,27,male,54,1612048,25,3,3,bank,1,200,0,yes,1,1,200,2,1,150
116,E4 effort with bonus,2,27,male,55,1631729,75,2,8,bank,1,200,6,try harder,1,NA,-97,3,1,165
117,E4 effort with bonus,2,27,male,56,1649386,55,3,4,bank,1,156,1,yes,1,1,200,1,1,72
118,E4 effort with bonus,2,27,male,57,1743616,72,1,6,bank,1,200,5,try harder,1,NA,-170,3,1,78
119,E4 effort with bonus,2,27,male,58,1765054,26,3,12,bank,1,200,9,yes,1,1,134,3,1,228
120,E4 effort with bonus,2,27,male,59,1783040,76,3,11,bank,1,200,8,yes,1,1,147,NA,NA,NA
121,E4 effort with bonus,3,50,female,0,239856,92,1,7,bank,1,113,6,yes,1,1,-143,9,1,135
122,E4 effort with bonus,3,50,female,1,264796,15,9,9,bank,1,100,0,yes,1,1,136,4,1,256
123,E4 effort with bonus,3,50,female,2,286814,64,4,5,bank,1,89,1,yes,1,1,48,10,0,0
124,E4 effort with bonus,3,50,female,3,316204,55,10,2,bust,-1,87,-8,try harder,1,NA,-200,5,1,300
125,E4 effort with bonus,3,50,female,4,339107,60,5,7,bank,1,1,2,yes,1,1,-67,8,0,0
126,E4 effort with bonus,3,50,female,5,368091,19,8,3,bust,-1,-134,-5,no,0,-1,-1,5,1,270
127,E4 effort with bonus,3,50,female,6,400575,54,5,5,bank,1,39,0,no,0,-1,5,1,1,99
128,E4 effort with bonus,3,50,female,7,421482,99,1,7,bank,1,0,6,yes,1,1,-137,9,0,0
129,E4 effort with bonus,3,50,female,8,452111,24,9,0,bust,-1,0,-9,no,0,-1,-115,8,0,0
130,E4 effort with bonus,3,50,female,9,480572,23,8,7,bust,-1,-94,-1,no,0,-1,-10,4,1,256
131,E4 effort with bonus,3,50,female,10,499332,64,4,10,bank,1,14,6,yes,1,1,-105,4,1,248
132,E4 effort with bonus,3,50,female,11,522129,62,4,5,bank,1,11,1,yes,1,1,67,5,1,290
133,E4 effort with bonus,3,50,female,12,545001,58,5,7,bank,1,50,2,no,0,-1,-70,4,1,212
134,E4 effort with bonus,3,50,female,13,565128,53,4,7,bank,1,132,3,no,0,-1,-11,3,1,246
135,E4 effort with bonus,3,50,female,14,586853,82,3,10,bank,1,51,7,no,0,-1,-27,11,0,0
136,E4 effort with bonus,3,50,female,15,614160,18,11,1,bust,-1,-50,-10,try harder,1,NA,-39,4,1,252
137,E4 effort with bonus,3,50,female,16,637078,63,4,11,bank,1,84,7,no,0,-1,22,6,0,0
138,E4 effort with bonus,3,50,female,17,660878,63,6,4,bust,-1,47,-2,no,0,-1,-3,10,0,0
139,E4 effort with bonus,3,50,female,18,691338,23,10,1,bust,-1,-195,-9,no,0,-1,-14,6,0,0
140,E4 effort with bonus,3,50,female,19,718036,38,6,1,bust,-1,-138,-5,no,0,-1,-32,3,1,294
141,E4 effort with bonus,3,50,female,20,740859,98,3,6,bank,1,106,3,no,0,-1,50,9,1,225
142,E4 effort with bonus,3,50,female,21,765092,25,9,11,bank,1,140,2,no,0,-1,-6,6,0,0
143,E4 effort with bonus,3,50,female,22,793332,38,6,3,bust,-1,-87,-3,no,0,-1,-37,4,0,0
144,E4 effort with bonus,3,50,female,23,813509,61,4,2,bust,-1,-121,-2,no,0,-1,-80,3,1,207
145,E4 effort with bonus,3,50,female,24,834682,69,3,9,bank,1,142,6,no,0,-1,-26,5,1,235
146,E4 effort with bonus,3,50,female,25,854314,47,5,12,bank,1,157,7,yes,1,1,-133,5,1,275
147,E4 effort with bonus,3,50,female,26,873316,55,5,7,bank,1,86,2,yes,1,1,-93,7,1,476
148,E4 effort with bonus,3,50,female,27,893947,68,7,9,bank,1,200,2,yes,1,1,9,12,0,0
149,E4 effort with bonus,3,50,female,28,918026,5,12,0,bust,-1,-163,-12,no,0,-1,-69,5,1,165
150,E4 effort with bonus,3,50,female,29,939270,33,5,10,bank,1,81,5,no,0,-1,15,2,1,180
151,E4 effort with bonus,3,50,female,30,959847,90,2,9,bank,1,61,7,no,0,-1,-27,4,1,356
152,E4 effort with bonus,3,50,female,31,978299,89,4,12,bank,1,122,8,no,0,-1,27,4,1,288
153,E4 effort with bonus,3,50,female,32,998890,72,4,4,bank,1,200,0,no,0,-1,55,7,0,0
154,E4 effort with bonus,3,50,female,33,1020840,35,7,0,bust,-1,-179,-7,no,0,-1,-62,2,1,162
155,E4 effort with bonus,3,50,female,34,1041702,81,2,9,bank,1,123,7,no,0,-1,-31,6,1,372
156,E4 effort with bonus,3,50,female,35,1062138,62,6,12,bank,1,149,6,no,0,-1,-10,5,1,200
157,E4 effort with bonus,3,50,female,36,1085365,40,5,12,bank,1,82,7,no,0,-1,24,3,0,0
158,E4 effort with bonus,3,50,female,37,1105584,72,3,1,bust,-1,-150,-2,no,0,-1,-14,2,1,192
159,E4 effort with bonus,3,50,female,38,1135801,96,2,10,bank,1,103,8,no,0,-1,27,4,0,0
160,E4 effort with bonus,3,50,female,39,1155592,79,4,0,bust,-1,-113,-4,no,0,-1,-11,12,0,0
161,E4 effort with bonus,3,50,female,40,1183097,4,12,5,bust,-1,-108,-7,no,0,-1,-8,5,1,125
162,E4 effort with bonus,3,50,female,41,1203275,25,5,7,bank,1,69,2,no,0,-1,19,10,1,170
163,E4 effort with bonus,3,50,female,42,1225851,17,10,10,bank,1,51,0,no,0,-1,-14,10,0,0
164,E4 effort with bonus,3,50,female,43,1249450,13,10,1,bust,-1,-129,-9,no,0,-1,-20,3,1,216
165,E4 effort with bonus,3,50,female,44,1267507,72,3,12,bank,1,80,9,no,0,-1,-11,12,0,0
166,E4 effort with bonus,3,50,female,45,1292146,5,12,4,bust,-1,-145,-8,no,0,-1,-12,12,0,0
167,E4 effort with bonus,3,50,female,46,1313787,3,12,9,bust,-1,-77,-3,no,0,-1,-7,5,0,0
168,E4 effort with bonus,3,50,female,47,1333054,22,5,4,bust,-1,-49,-1,no,0,-1,-17,3,1,231
169,E4 effort with bonus,3,50,female,48,1352912,77,3,6,bank,1,84,3,yes,1,1,-89,6,1,294
170,E4 effort with bonus,3,50,female,49,1376056,49,6,12,bank,1,118,6,try harder,1,NA,2,2,1,166
171,E4 effort with bonus,3,50,female,50,1399463,83,2,8,bank,1,51,6,no,0,-1,-33,5,1,330
172,E4 effort with bonus,3,50,female,51,1421781,66,5,11,bank,1,81,6,no,0,-1,0,4,1,288
173,E4 effort with bonus,3,50,female,52,1441906,72,4,8,bank,1,85,4,no,0,-1,0,7,1,266
174,E4 effort with bonus,3,50,female,53,1464978,38,7,10,bank,1,46,3,no,0,-1,-23,7,1,308
175,E4 effort with bonus,3,50,female,54,1488275,44,7,8,bank,1,115,1,no,0,-1,-8,4,0,0
176,E4 effort with bonus,3,50,female,55,1512105,60,4,0,bust,-1,-88,-4,no,0,-1,-5,4,0,0
177,E4 effort with bonus,3,50,female,56,1531974,45,4,0,bust,-1,-100,-4,no,0,-1,-20,4,1,232
178,E4 effort with bonus,3,50,female,57,1550538,58,4,7,bank,1,56,3,no,0,-1,-1,3,0,0
179,E4 effort with bonus,3,50,female,58,1572505,72,3,0,bust,-1,-54,-3,no,0,-1,-15,7,1,84
180,E4 effort with bonus,3,50,female,59,1596972,12,7,11,bank,1,103,4,no,0,-1,-58,NA,NA,NA
181,E4 effort with bonus,4,52,female,0,253235,98,8,0,bust,-1,-145,-8,no,0,-1,-111,5,1,340
182,E4 effort with bonus,4,52,female,1,274210,68,5,7,bank,1,124,2,no,0,-1,90,7,1,574
183,E4 effort with bonus,4,52,female,2,295732,82,7,12,bank,1,128,5,no,0,-1,99,5,1,460
184,E4 effort with bonus,4,52,female,3,313995,92,5,12,bank,1,130,7,no,0,-1,90,7,0,0
185,E4 effort with bonus,4,52,female,4,334161,7,7,1,bust,-1,-173,-6,no,0,-1,-114,7,1,420
186,E4 effort with bonus,4,52,female,5,354762,60,7,11,bank,1,119,4,no,0,-1,98,6,1,480
187,E4 effort with bonus,4,52,female,6,375552,80,6,10,bank,1,122,4,no,0,-1,117,6,1,510
188,E4 effort with bonus,4,52,female,7,394786,85,6,7,bank,1,128,1,no,0,-1,89,6,1,342
189,E4 effort with bonus,4,52,female,8,413431,57,6,10,bank,1,91,4,no,0,-1,111,6,1,474
190,E4 effort with bonus,4,52,female,9,431616,79,6,9,bank,1,135,3,no,0,-1,90,6,1,222
191,E4 effort with bonus,4,52,female,10,468965,37,6,6,bank,1,132,0,no,0,-1,92,7,0,0
192,E4 effort with bonus,4,52,female,11,489196,9,7,2,bust,-1,-140,-5,no,0,-1,-79,6,0,0
193,E4 effort with bonus,4,52,female,12,527035,91,6,1,bust,-1,-136,-5,no,0,-1,-117,6,0,0
194,E4 effort with bonus,4,52,female,13,548987,87,6,3,bust,-1,-111,-3,no,0,-1,-94,5,1,330
195,E4 effort with bonus,4,52,female,14,594743,66,5,8,bank,1,125,3,no,0,-1,101,6,0,0
196,E4 effort with bonus,4,52,female,15,615539,82,6,4,bust,-1,-142,-2,no,0,-1,113,6,0,0
197,E4 effort with bonus,4,52,female,16,633673,2,6,0,bust,-1,-131,-6,no,0,-1,-106,5,0,0
198,E4 effort with bonus,4,52,female,17,651718,30,5,2,bust,-1,-128,-3,no,0,-1,-118,5,0,0
199,E4 effort with bonus,4,52,female,18,678522,34,5,3,bust,-1,-117,-2,no,0,-1,-106,5,1,315
200,E4 effort with bonus,4,52,female,19,699956,63,5,10,bank,1,114,5,no,0,-1,83,5,1,370
201,E4 effort with bonus,4,52,female,20,717405,74,5,6,bank,1,118,1,no,0,-1,85,6,1,252
202,E4 effort with bonus,4,52,female,21,805744,42,6,7,bank,1,112,1,no,0,-1,99,5,0,0
203,E4 effort with bonus,4,52,female,22,835564,66,5,3,bust,-1,-131,-2,no,0,-1,-87,5,1,130
204,E4 effort with bonus,4,52,female,23,854289,26,5,9,bank,1,99,4,no,0,-1,72,6,1,174
205,E4 effort with bonus,4,52,female,24,873716,29,6,12,bank,1,118,6,no,0,-1,102,7,1,217
206,E4 effort with bonus,4,52,female,25,901100,31,7,10,bank,1,120,3,no,0,-1,95,6,0,0
207,E4 effort with bonus,4,52,female,26,920607,35,6,4,bust,-1,-117,-2,no,0,-1,-115,6,0,0
208,E4 effort with bonus,4,52,female,27,941775,95,6,2,bust,-1,-109,-4,no,0,-1,-59,5,0,0
209,E4 effort with bonus,4,52,female,28,959123,50,5,2,bust,-1,-102,-3,no,0,-1,-94,6,0,0
210,E4 effort with bonus,4,52,female,29,975851,7,6,4,bust,-1,-95,-2,no,0,-1,-102,6,0,0
211,E4 effort with bonus,4,52,female,30,993625,65,6,1,bust,-1,-107,-5,no,0,-1,-97,5,0,0
212,E4 effort with bonus,4,52,female,31,1010971,100,5,0,bust,-1,-93,-5,no,0,-1,-62,5,1,365
213,E4 effort with bonus,4,52,female,32,1028201,73,5,9,bank,1,96,4,no,0,-1,92,5,1,385
214,E4 effort with bonus,4,52,female,33,1046653,77,5,11,bank,1,77,6,no,0,-1,73,5,0,0
215,E4 effort with bonus,4,52,female,34,1070491,7,5,1,bust,-1,-109,-4,no,0,-1,-91,5,0,0
216,E4 effort with bonus,4,52,female,35,1087547,26,5,1,bust,-1,-90,-4,no,0,-1,-87,5,1,85
217,E4 effort with bonus,4,52,female,36,1104081,17,5,6,bank,1,117,1,no,0,-1,91,4,1,252
218,E4 effort with bonus,4,52,female,37,1120867,63,4,4,bank,1,119,0,no,0,-1,-111,5,1,190
219,E4 effort with bonus,4,52,female,38,1137270,38,5,8,bank,1,105,3,no,0,-1,99,5,1,365
220,E4 effort with bonus,4,52,female,39,1156025,73,5,5,bank,1,137,0,no,0,-1,81,5,1,375
221,E4 effort with bonus,4,52,female,40,1173092,75,5,11,bank,1,112,6,no,0,-1,97,5,1,110
222,E4 effort with bonus,4,52,female,41,1190247,22,5,12,bank,1,104,7,no,0,-1,92,3,1,78
223,E4 effort with bonus,4,52,female,42,1208070,26,3,11,bank,1,82,8,yes,1,1,80,4,1,68
224,E4 effort with bonus,4,52,female,43,1232261,17,4,8,bank,1,110,4,no,0,-1,102,5,1,225
225,E4 effort with bonus,4,52,female,44,1252508,45,5,8,bank,1,109,3,no,0,-1,84,5,0,0
226,E4 effort with bonus,4,52,female,45,1269560,43,5,4,bust,-1,-116,-1,no,0,-1,93,4,1,72
227,E4 effort with bonus,4,52,female,46,1285702,18,4,11,bank,1,57,7,no,0,-1,66,4,1,152
228,E4 effort with bonus,4,52,female,47,1301585,38,4,11,bank,1,74,7,no,0,-1,37,5,0,0
229,E4 effort with bonus,4,52,female,48,1318780,36,5,0,bust,-1,-116,-5,no,0,-1,-101,5,1,455
230,E4 effort with bonus,4,52,female,49,1334709,91,5,10,bank,1,109,5,no,0,-1,113,4,0,0
231,E4 effort with bonus,4,52,female,50,1350942,41,4,1,bust,-1,-94,-3,no,0,-1,-97,4,1,288
232,E4 effort with bonus,4,52,female,51,1365653,72,4,10,bank,1,66,6,no,0,-1,52,4,1,240
233,E4 effort with bonus,4,52,female,52,1380453,60,4,12,bank,1,93,8,no,0,-1,76,4,0,0
234,E4 effort with bonus,4,52,female,53,1396673,17,4,2,bust,-1,-89,-2,no,0,-1,-135,4,1,152
235,E4 effort with bonus,4,52,female,54,1411977,38,4,11,bank,1,87,7,no,0,-1,72,5,0,0
236,E4 effort with bonus,4,52,female,55,1428933,27,5,1,bust,-1,-107,-4,no,0,-1,-143,2,1,8
237,E4 effort with bonus,4,52,female,56,1444215,4,2,5,bank,1,86,3,no,0,-1,84,3,1,15
238,E4 effort with bonus,4,52,female,57,1461350,5,3,10,bank,1,86,7,no,0,-1,81,6,0,0
239,E4 effort with bonus,4,52,female,58,1479162,99,6,1,bust,-1,-123,-5,no,0,-1,-97,4,0,0
240,E4 effort with bonus,4,52,female,59,1495307,29,4,2,bust,-1,-102,-2,no,0,-1,-108,NA,NA,NA
241,E4 effort with bonus,5,26,female,0,220894,8,6,0,bust,-1,-200,-6,yes,1,1,161,2,0,0
242,E4 effort with bonus,5,26,female,1,243325,66,2,0,bust,-1,-200,-2,try harder,1,NA,-200,1,0,0
243,E4 effort with bonus,5,26,female,2,259078,94,1,0,bust,-1,-200,-1,yes,1,1,62,1,1,97
244,E4 effort with bonus,5,26,female,3,277827,97,1,8,bank,1,76,7,yes,1,1,-30,3,0,0
245,E4 effort with bonus,5,26,female,4,320552,52,3,2,bust,-1,-200,-1,yes,1,1,-8,3,1,261
246,E4 effort with bonus,5,26,female,5,340330,87,3,5,bank,1,200,2,yes,1,1,78,12,0,0
247,E4 effort with bonus,5,26,female,6,365317,9,12,8,bust,-1,-34,-4,yes,1,1,-18,3,0,0
248,E4 effort with bonus,5,26,female,7,380318,40,3,0,bust,-1,-200,-3,yes,1,1,174,4,1,100
249,E4 effort with bonus,5,26,female,8,396201,25,4,5,bank,1,164,1,try harder,1,NA,-200,2,0,0
