,study,subject,age,gender,trial,time_elapsed,pump_value,n_pumps,limit,outcome,outcome_ec,outcome_rating,diff_pumps_limit,information_outcome,information_sought,information_received_ec,emotion_change_rating,next_trial_n_pumps,next_trial_bank,next_trial_points
1,E4 effort with bonus,1,32,female,0,249485,18,7,1,bust,-1,-200,-6,try harder,1,NA,-139,11,0,0
2,E4 effort with bonus,1,32,female,1,276924,4,11,4,bust,-1,-188,-7,try harder,1,NA,-21,2,1,152
3,E4 effort with bonus,1,32,female,2,297124,76,2,7,bank,1,200,5,no,0,-1,20,3,1,117
4,E4 effort with bonus,1,32,female,3,315972,39,3,7,bank,1,200,4,try harder,1,NA,24,5,0,0
5,E4 effort with bonus,1,32,female,4,340084,17,5,2,bust,-1,-180,-3,try harder,1,NA,-53,3,1,72
6,E4 effort with bonus,1,32,female,5,359293,24,3,3,bank,1,200,0,no,0,-1,32,1,1,58
7,E4 effort with bonus,1,32,female,6,376588,58,1,11,bank,1,200,10,no,0,-1,6,3,1,102
8,E4 effort with bonus,1,32,female,7,395782,34,3,11,bank,1,200,8,no,0,-1,42,1,1,86
9,E4 effort with bonus,1,32,female,8,430821,86,1,5,bank,1,200,4,no,0,-1,195,2,0,0
10,E4 effort with bonus,1,32,female,9,447509,87,2,1,bust,-1,-165,-1,no,0,-1,-97,2,1,154
11,E4 effort with bonus,1,32,female,10,466509,77,2,7,bank,1,200,5,no,0,-1,52,4,0,0
12,E4 effort with bonus,1,32,female,11,487380,10,4,2,bust,-1,-200,-2,no,0,-1,-18,4,1,172
13,E4 effort with bonus,1,32,female,12,504612,43,4,11,bank,1,200,7,no,0,-1,19,3,1,273
14,E4 effort with bonus,1,32,female,13,522980,91,3,12,bank,1,200,9,no,0,-1,59,1,1,61
15,E4 effort with bonus,1,32,female,14,538021,61,1,9,bank,1,200,8,no,0,-1,56,1,1,49
16,E4 effort with bonus,1,32,female,15,553275,49,1,7,bank,1,200,6,no,0,-1,98,2,1,190
17,E4 effort with bonus,1,32,female,16,569813,95,2,2,bank,1,200,0,no,0,-1,37,1,1,9
18,E4 effort with bonus,1,32,female,17,586109,9,1,7,bank,1,200,6,no,0,-1,5,10,0,0
19,E4 effort with bonus,1,32,female,18,608324,37,10,7,bust,-1,-191,-3,no,0,-1,-9,7,0,0
20,E4 effort with bonus,1,32,female,19,628997,66,7,5,bust,-1,-194,-2,no,0,-1,-54,2,1,32
21,E4 effort with bonus,1,32,female,20,644604,16,2,6,bank,1,200,4,no,0,-1,28,1,1,77
