trial_type,time_elapsed,internal_node_id,bonus,subject,practice,trial,n_pumps,limit,outcome,value,information_seeking,emo_rating_1,winnings,emo_rating_2,stimulus,age,gender,final_outcome,final_fb,emo_diff,missed
balloon-inflate,229074,0.0-7.0-2.0,0,110,FALSE,10,8,5,bust,20,FALSE,-200,0,NA,NA,29,female,bust,FALSE,NA,-3
balloon-inflate,296246,0.0-7.0-2.0,0,111,FALSE,10,6,4,bust,20,FALSE,-130,0,NA,NA,58,female,bust,FALSE,NA,-2
balloon-inflate,220128,0.0-7.0-2.0,0,112,FALSE,10,5,4,bust,20,FALSE,-200,0,NA,NA,29,female,bust,FALSE,NA,-1
balloon-inflate,276150,0.0-7.0-2.0,0.8,113,FALSE,10,4,10,bank,20,TRUE,192,0.8,-73,NA,29,male,bank,TRUE,-265,6
balloon-inflate,264304,0.0-7.0-2.0,1.4,114,FALSE,10,7,12,bank,20,TRUE,2,1.4,-13,NA,44,male,bank,TRUE,-15,5
balloon-inflate,391955,0.0-7.0-2.0,1,115,FALSE,10,5,8,bank,20,TRUE,200,1,200,NA,38,male,bank,TRUE,0,3
balloon-inflate,251833,0.0-7.0-2.0,1.2,116,FALSE,10,6,8,bank,20,FALSE,106,1.2,63,NA,36,female,bank,FALSE,-43,2
balloon-inflate,246286,0.0-7.0-2.0,0,117,FALSE,10,4,3,bust,20,FALSE,-91,0,NA,NA,32,male,bust,FALSE,NA,-1
balloon-inflate,216834,0.0-7.0-2.0,0,118,FALSE,10,6,0,bust,20,FALSE,-200,0,NA,NA,42,female,bust,FALSE,NA,-6
balloon-inflate,294181,0.0-7.0-2.0,1,119,FALSE,10,5,8,bank,20,TRUE,200,1,200,NA,29,female,bank,TRUE,0,3
balloon-inflate,290249,0.0-7.0-2.0,0,120,FALSE,10,6,5,bust,20,FALSE,-200,0,NA,NA,46,female,bust,FALSE,NA,-1
balloon-inflate,334181,0.0-7.0-2.0,0,121,FALSE,10,10,6,bust,20,FALSE,-200,0,NA,NA,39,female,bust,FALSE,NA,-4
balloon-inflate,182702,0.0-7.0-2.0,1.8,122,FALSE,10,9,11,bank,20,FALSE,18,1.8,17,NA,27,female,bank,FALSE,-1,2
balloon-inflate,331971,0.0-7.0-2.0,1,123,FALSE,10,5,12,bank,20,TRUE,102,1,-107,NA,20,male,bank,TRUE,-209,7
balloon-inflate,179846,0.0-7.0-2.0,0,124,FALSE,10,6,2,bust,20,FALSE,-71,0,NA,NA,33,male,bust,FALSE,NA,-4
balloon-inflate,508972,0.0-7.0-2.0,0.6,125,FALSE,10,3,9,bank,20,TRUE,200,0.6,70,NA,31,male,bank,TRUE,-130,6
balloon-inflate,286999,0.0-7.0-2.0,0,126,FALSE,10,6,3,bust,20,FALSE,-200,0,NA,NA,46,female,bust,FALSE,NA,-3
balloon-inflate,421000,0.0-7.0-2.0,1,127,FALSE,10,5,12,bank,20,FALSE,200,1,107,NA,42,male,bank,FALSE,-93,7
balloon-inflate,244090,0.0-7.0-2.0,0,128,FALSE,10,5,1,bust,20,FALSE,9,0,NA,NA,26,male,bust,FALSE,NA,-4
balloon-inflate,467818,0.0-7.0-2.0,0,129,FALSE,10,3,2,bust,20,FALSE,-156,0,NA,NA,31,female,bust,FALSE,NA,-1
balloon-inflate,694056,0.0-7.0-2.0,0,130,FALSE,10,5,2,bust,20,FALSE,-73,0,NA,NA,48,male,bust,FALSE,NA,-3
balloon-inflate,360098,0.0-7.0-2.0,0,131,FALSE,10,6,0,bust,20,FALSE,-67,0,NA,NA,26,male,bust,FALSE,NA,-6
balloon-inflate,264361,0.0-7.0-2.0,1,132,FALSE,10,5,7,bank,20,TRUE,200,1,126,NA,27,female,bank,TRUE,-74,2
balloon-inflate,329708,0.0-7.0-2.0,1,133,FALSE,10,5,12,bank,20,FALSE,200,1,200,NA,35,female,bank,FALSE,0,7
balloon-inflate,270889,0.0-7.0-2.0,0,134,FALSE,10,9,0,bust,20,FALSE,-200,0,NA,NA,25,male,bust,FALSE,NA,-9
balloon-inflate,199241,0.0-7.0-2.0,1,135,FALSE,10,5,12,bank,20,TRUE,146,1,-159,NA,24,male,bank,TRUE,-305,7
balloon-inflate,351886,0.0-7.0-2.0,1,136,FALSE,10,5,6,bank,20,TRUE,188,1,190,NA,29,male,bank,TRUE,2,1
balloon-inflate,443943,0.0-7.0-2.0,1,137,FALSE,10,5,7,bank,20,FALSE,36,1,39,NA,32,female,bank,FALSE,3,2
balloon-inflate,210293,0.0-7.0-2.0,0.6,138,FALSE,10,3,10,bank,20,TRUE,200,0.6,-114,NA,20,male,bank,TRUE,-314,7
balloon-inflate,354888,0.0-7.0-2.0,0,139,FALSE,10,9,4,bust,20,FALSE,-193,0,NA,NA,70,male,bust,FALSE,NA,-5
balloon-inflate,227240,0.0-7.0-2.0,0,140,FALSE,10,8,4,bust,20,FALSE,-200,0,NA,NA,20,female,bust,FALSE,NA,-4
balloon-inflate,270287,0.0-7.0-2.0,0.8,141,FALSE,10,4,12,bank,20,TRUE,93,0.8,-120,NA,23,male,bank,TRUE,-213,8
balloon-inflate,282052,0.0-7.0-2.0,0.2,142,FALSE,10,1,8,bank,20,TRUE,87,0.2,-60,NA,20,male,bank,TRUE,-147,7
balloon-inflate,366764,0.0-7.0-2.0,1.4,143,FALSE,10,7,11,bank,20,TRUE,93,1.4,62,NA,47,female,bank,TRUE,-31,4
balloon-inflate,304984,0.0-7.0-2.0,0,144,FALSE,10,4,0,bust,20,FALSE,-200,0,NA,NA,58,female,bust,FALSE,NA,-4
balloon-inflate,231676,0.0-7.0-2.0,0,145,FALSE,10,8,3,bust,20,FALSE,-200,0,NA,NA,22,male,bust,FALSE,NA,-5
balloon-inflate,342678,0.0-7.0-2.0,0.6,146,FALSE,10,3,7,bank,20,TRUE,109,0.6,46,NA,55,female,bank,TRUE,-63,4
balloon-inflate,224823,0.0-7.0-2.0,1.2,147,FALSE,10,6,7,bank,20,FALSE,200,1.2,200,NA,23,female,bank,FALSE,0,1
balloon-inflate,240085,0.0-7.0-2.0,1.4,148,FALSE,10,7,8,bank,20,TRUE,200,1.4,200,NA,20,male,bank,TRUE,0,1
balloon-inflate,245664,0.0-7.0-2.0,1.6,149,FALSE,10,8,8,bank,20,TRUE,46,1.6,194,NA,31,male,bank,TRUE,148,0
balloon-inflate,229455,0.0-7.0-2.0,0,150,FALSE,10,6,0,bust,20,FALSE,-200,0,NA,NA,25,male,bust,FALSE,NA,-6
balloon-inflate,280534,0.0-7.0-2.0,1.2,151,FALSE,10,6,8,bank,20,TRUE,109,1.2,49,NA,25,female,bank,TRUE,-60,2
balloon-inflate,230604,0.0-7.0-2.0,0,152,FALSE,10,6,1,bust,20,FALSE,-129,0,NA,NA,44,male,bust,FALSE,NA,-5
balloon-inflate,287901,0.0-7.0-2.0,1,153,FALSE,10,5,8,bank,20,TRUE,200,1,200,NA,20,male,bank,TRUE,0,3
balloon-inflate,198186,0.0-7.0-2.0,0,154,FALSE,10,6,3,bust,20,FALSE,-67,0,NA,NA,21,male,bust,FALSE,NA,-3
balloon-inflate,268132,0.0-7.0-2.0,0,155,FALSE,10,6,1,bust,20,FALSE,-111,0,NA,NA,50,male,bust,FALSE,NA,-5
balloon-inflate,254473,0.0-7.0-2.0,0.8,156,FALSE,10,4,6,bank,20,FALSE,200,0.8,200,NA,56,female,bank,FALSE,0,2
balloon-inflate,331229,0.0-7.0-2.0,0,157,FALSE,10,8,7,bust,20,FALSE,29,0,NA,NA,45,male,bust,FALSE,NA,-1
balloon-inflate,202345,0.0-7.0-2.0,0.8,158,FALSE,10,4,10,bank,20,TRUE,200,0.8,84,NA,32,female,bank,TRUE,-116,6
balloon-inflate,269427,0.0-7.0-2.0,0,159,FALSE,10,6,1,bust,20,FALSE,-200,0,NA,NA,23,male,bust,FALSE,NA,-5
balloon-inflate,255322,0.0-7.0-2.0,1.2,160,FALSE,10,6,9,bank,20,TRUE,129,1.2,-200,NA,26,female,bank,TRUE,-329,3
balloon-inflate,296995,0.0-7.0-2.0,0,161,FALSE,10,6,4,bust,20,FALSE,-200,0,NA,NA,38,male,bust,FALSE,NA,-2
balloon-inflate,213771,0.0-7.0-2.0,1,162,FALSE,10,5,6,bank,20,TRUE,110,1,104,NA,38,male,bank,TRUE,-6,1
balloon-inflate,195413,0.0-7.0-2.0,0,163,FALSE,10,7,4,bust,20,FALSE,-57,0,NA,NA,20,male,bust,FALSE,NA,-3
balloon-inflate,209422,0.0-7.0-2.0,0,164,FALSE,10,5,4,bust,20,FALSE,-160,0,NA,NA,21,male,bust,FALSE,NA,-1
balloon-inflate,379339,0.0-7.0-2.0,0.6,165,FALSE,10,3,7,bank,20,TRUE,164,0.6,77,NA,30,female,bank,TRUE,-87,4
balloon-inflate,427900,0.0-7.0-2.0,0,166,FALSE,10,7,4,bust,20,FALSE,-200,0,NA,NA,50,female,bust,FALSE,NA,-3
balloon-inflate,229358,0.0-7.0-2.0,1,167,FALSE,10,5,9,bank,20,FALSE,200,1,106,NA,21,female,bank,FALSE,-94,4
