,study,subject,age,gender,trial,time_elapsed,pump_value,n_pumps,limit,outcome,outcome_ec,outcome_rating,diff_pumps_limit,information_outcome,information_sought,information_received_ec,emotion_change_rating,next_trial_n_pumps,next_trial_bank,next_trial_points
1,E1 no cost,1,20,female,0,346724,32,3,0,bust,-1,-37,-3,yes,1,1,10,3,1,288
2,E1 no cost,1,20,female,1,375369,96,3,10,bank,1,30,7,yes,1,1,24,5,1,390
3,E1 no cost,1,20,female,2,401642,78,5,7,bank,1,28,2,yes,1,1,26,3,1,165
4,E1 no cost,1,20,female,3,428369,55,3,3,bank,1,24,0,yes,1,1,200,1,1,18
5,E1 no cost,1,20,female,4,452593,18,1,1,bank,1,90,0,yes,1,1,200,6,0,0
6,E1 no cost,1,20,female,5,480743,77,6,1,bust,-1,-142,-5,yes,1,1,0,2,1,48
7,E1 no cost,1,20,female,6,501716,24,2,3,bank,1,93,1,yes,1,1,83,4,1,260
8,E1 no cost,1,20,female,7,521447,65,4,10,bank,1,75,6,yes,1,1,-76,4,0,0
9,E1 no cost,1,20,female,8,553138,54,4,2,bust,-1,-52,-2,yes,1,1,18,2,1,78
10,E1 no cost,1,20,female,9,567900,39,2,5,bank,1,46,3,yes,1,1,30,5,1,305
11,E1 no cost,1,20,female,10,588811,61,5,6,bank,1,85,1,yes,1,1,56,2,0,0
12,E1 no cost,1,20,female,11,607230,22,2,0,bust,-1,-73,-2,yes,1,1,25,4,0,0
13,E1 no cost,1,20,female,12,629305,64,4,2,bust,-1,-34,-2,no,0,-1,-17,2,1,70
14,E1 no cost,1,20,female,13,647933,35,2,6,bank,1,16,4,yes,1,1,0,5,1,360
15,E1 no cost,1,20,female,14,674680,72,5,6,bank,1,138,1,yes,1,1,68,1,1,8
16,E1 no cost,1,20,female,15,692377,8,1,9,bank,1,157,8,yes,1,1,-76,2,1,50
17,E1 no cost,1,20,female,16,711837,25,2,12,bank,1,140,10,yes,1,1,-102,5,0,0
18,E1 no cost,1,20,female,17,733714,57,5,4,bust,-1,-66,-1,no,0,-1,-67,3,1,129
19,E1 no cost,1,20,female,18,756063,43,3,7,bank,1,121,4,yes,1,1,-20,3,1,120
20,E1 no cost,1,20,female,19,775289,40,3,4,bank,1,-102,1,yes,1,1,-28,3,1,102
21,E1 no cost,1,20,female,20,791323,34,3,5,bank,1,-34,2,yes,1,1,66,5,1,480
22,E1 no cost,1,20,female,21,808312,96,5,8,bank,1,98,3,yes,1,1,-57,7,1,658
23,E1 no cost,1,20,female,22,907178,94,7,12,bank,1,73,5,yes,1,1,94,4,0,0
24,E1 no cost,1,20,female,23,925638,47,4,2,bust,-1,-99,-2,no,0,-1,82,4,1,108
25,E1 no cost,1,20,female,24,950160,27,4,5,bank,1,99,1,yes,1,1,44,8,0,0
26,E1 no cost,1,20,female,25,970829,86,8,2,bust,-1,-108,-6,no,0,-1,-45,1,1,1
27,E1 no cost,1,20,female,26,986370,1,1,1,bank,1,117,0,yes,1,1,112,4,1,272
28,E1 no cost,1,20,female,27,1004397,68,4,8,bank,1,46,4,yes,1,1,-73,2,1,16
29,E1 no cost,1,20,female,28,1019834,8,2,5,bank,1,111,3,yes,1,1,49,6,1,546
30,E1 no cost,1,20,female,29,1040260,91,6,6,bank,1,72,0,yes,1,1,197,2,1,28
31,E1 no cost,1,20,female,30,1064036,14,2,3,bank,1,141,1,yes,1,1,-62,8,0,0
32,E1 no cost,1,20,female,31,1089077,8,8,0,bust,-1,-61,-8,yes,1,1,-177,4,1,180
33,E1 no cost,1,20,female,32,1114683,45,4,7,bank,1,165,3,yes,1,1,-81,5,1,290
34,E1 no cost,1,20,female,33,1133583,58,5,7,bank,1,-73,2,no,0,-1,-100,2,1,42
35,E1 no cost,1,20,female,34,1150156,21,2,8,bank,1,89,6,yes,1,1,-42,4,1,196
36,E1 no cost,1,20,female,35,1170243,49,4,12,bank,1,-82,8,yes,1,1,72,5,0,0
37,E1 no cost,1,20,female,36,1189766,57,5,3,bust,-1,-90,-2,yes,1,1,-97,6,0,0
38,E1 no cost,1,20,female,37,1209495,68,6,0,bust,-1,-113,-6,yes,1,1,-200,1,1,7
39,E1 no cost,1,20,female,38,1224869,7,1,1,bank,1,193,0,yes,1,1,200,7,1,539
40,E1 no cost,1,20,female,39,1245863,77,7,7,bank,1,200,0,yes,1,1,200,1,1,6
41,E1 no cost,1,20,female,40,1260219,6,1,1,bank,1,200,0,yes,1,1,200,3,0,0
42,E1 no cost,1,20,female,41,1277026,35,3,0,bust,-1,-103,-3,no,0,-1,-121,2,1,42
43,E1 no cost,1,20,female,42,1292941,21,2,6,bank,1,155,4,yes,1,1,-89,7,0,0
44,E1 no cost,1,20,female,43,1316541,79,7,6,bust,-1,-106,-1,no,0,-1,-82,5,1,285
45,E1 no cost,1,20,female,44,1335902,57,5,7,bank,1,-44,2,yes,1,1,9,5,0,0
46,E1 no cost,1,20,female,45,1355330,50,5,4,bust,-1,-28,-1,no,0,-1,-72,3,0,0
47,E1 no cost,1,20,female,46,1372271,39,3,0,bust,-1,-52,-3,no,0,-1,-122,2,1,60
48,E1 no cost,1,20,female,47,1386882,30,2,8,bank,1,125,6,yes,1,1,-121,6,1,354
49,E1 no cost,1,20,female,48,1406733,59,6,8,bank,1,35,2,yes,1,1,88,6,0,0
50,E1 no cost,1,20,female,49,1426077,64,6,3,bust,-1,-59,-3,no,0,-1,-92,8,1,632
51,E1 no cost,1,20,female,50,1448445,79,8,11,bank,1,93,3,yes,1,1,-13,5,1,280
52,E1 no cost,1,20,female,51,1470270,56,5,8,bank,1,10,3,no,0,-1,38,8,0,0
53,E1 no cost,1,20,female,52,1490357,86,8,5,bust,-1,-40,-3,no,0,-1,-37,4,1,196
54,E1 no cost,1,20,female,53,1509979,49,4,9,bank,1,111,5,no,0,-1,-56,3,1,105
